trial,wacc,g,exit_multiple,enterprise_value,equity_value,price_per_share
52,0.09334616999541062,0.020854150579881565,0.0,8864735.325959682,10772778.325959682,9253.374270709228
53,0.11267514433261301,0.019321712554829257,0.0,6630643.830744672,8538686.830744673,7334.381404178554
54,0.11896499283743926,0.016958547989660726,0.0,6012281.667757224,7920324.667757224,6803.233695032833
55,0.11746920178674297,0.01719617463143743,0.0,6132564.6692663375,8040607.6692663375,6906.551854721128
56,0.09091173715166041,0.021773381286138295,0.0,9329148.25226884,11237191.25226884,9652.285906432606
57,0.09886181436223178,0.02004864563879721,0.0,8070658.061659455,9978701.061659455,8571.294504088177
58,0.10846895147105345,0.019653719388481938,0.0,7025922.395773893,8933965.395773893,7673.909462097486
59,0.11813317690683538,0.018940274894194118,0.0,6175269.989862485,8083312.989862485,6943.233971708027
60,0.09631238643232065,0.019237027886298122,0.0,8306402.143064952,10214445.143064953,8773.788990779036
61,0.10071511535004274,0.02261727948622035,0.0,8082416.13603672,9990459.13603672,8581.394207212437
62,0.08690497538990957,0.019161889795329935,0.0,9639477.41413586,11547520.41413586,9918.845914907972
63,0.08555690063878993,0.016647338216746077,0.0,9539292.987142907,11447335.987142907,9832.791605517014
64,0.11568788733591297,0.021859129438850433,0.0,6532494.122557238,8440537.122557238,7250.074834699568
65,0.12384360042856234,0.019487808340338208,0.0,5798253.014416781,7706296.014416781,6619.391869452655
66,0.10241984817629499,0.020078489663831942,0.0,7668011.9079972785,9576054.907997278,8225.437990033739
67,0.11855299346838036,0.024018945765998778,0.0,6425989.653573595,8334032.653573595,7158.591868728393
68,0.1089245403757145,0.019948598606623732,0.0,7003662.315259379,8911705.315259378,7654.788966895188
69,0.09382320368092313,0.020722959182796815,0.0,8783977.623497516,10692020.623497516,9184.006720063147
70,0.10892093408262621,0.017052691271754187,0.0,6812262.866838178,8720305.866838178,7490.384699225371
71,0.12657054849698954,0.0194508263691226,0.0,5618313.99333187,7526356.99333187,6464.831638319764
72,0.10296260941335073,0.021523815113021504,0.0,7727700.554492479,9635743.55449248,8276.708086662496
73,0.1269696548372101,0.016111565665396895,0.0,5450884.493290863,7358927.493290863,6321.016572144703
74,0.06420382343865383,0.020502112732789273,0.0,15653556.263259111,17561599.263259113,15084.692718827617
75,0.11582853756562836,0.020251977681612018,0.0,6426401.610071773,8334444.610071773,7158.945722446119
76,0.10480570602357256,0.0201032186389686,0.0,7417544.456346171,9325587.456346171,8010.296732817532
77,0.09901488974301198,0.022592897246645607,0.0,8288960.5248241685,10197003.524824169,8758.807356832303
78,0.10487641164803253,0.020836096287121304,0.0,7466773.013564756,9374816.013564756,8052.582042230507
79,0.0736864662809866,0.02369517974589111,0.0,13341624.83921482,15249667.83921482,13098.838549402868
80,0.10020492168243732,0.01751602621101491,0.0,7700017.474567491,9608060.474567492,8252.9294576254
81,0.10885668857267619,0.02033981141804587,0.0,7036885.286626363,8944928.286626363,7683.326135222782
82,0.12566841067112272,0.02021116696597487,0.0,5710818.152953953,7618861.152953953,6544.288913377385
83,0.09572594672589528,0.0173268637656123,0.0,8199451.574396118,10107494.574396119,8681.922843494347
84,0.09137259595660219,0.022390737505228367,0.0,9332631.683381513,11240674.683381513,9655.27803073485
85,0.09597364434623194,0.025811683264632047,0.0,9041581.245723668,10949624.245723668,9405.277654804731
86,0.11723103176553111,0.01995748481379042,0.0,6299173.539096693,8207216.539096693,7049.66203323887
87,0.10843126664489526,0.02126255272068442,0.0,7142152.533166809,9050195.533166809,7773.746377913424
88,0.09555359694349441,0.02021129618953832,0.0,8498481.341545314,10406524.341545314,8938.777135840332
89,0.11119901149670033,0.01821603832523206,0.0,6687938.623072535,8595981.623072535,7383.595278365001
90,0.1049561632402206,0.015448099305494959,0.0,7065626.888348933,8973669.888348933,7708.013991022963
91,0.11802967485799333,0.018235566292261588,0.0,6145684.098799862,8053727.098799862,6917.820906029773
92,0.09296920359183972,0.016520104047620672,0.0,8467256.673515383,10375299.673515383,8911.956428032454
93,0.09858506780103347,0.024260255195147795,0.0,8509101.169902384,10417144.169902384,8947.89913236762
94,0.09761837770301764,0.019712225765191903,0.0,8189775.029924272,10097818.029924272,8673.61108909489
95,0.08154727577801822,0.019135201677382075,0.0,10582371.292775054,12490414.292775054,10728.75304309831
96,0.10794180415596863,0.022222884561969514,0.0,7259850.897051805,9167893.897051804,7874.844440003267
97,0.10741582908269834,0.01719562224286028,0.0,6956620.0271606725,8864663.027160672,7614.3815728918335
98,0.10357670184963691,0.01808283990498862,0.0,7389566.974421563,9297609.974421563,7986.265224550389
99,0.09998119299937279,0.020170180673121554,0.0,7949899.659238879,9857942.659238879,8467.567994536057
100,0.08226943886924379,0.0225719224785587,0.0,10989225.480846625,12897268.480846625,11078.224085935943
101,0.09719032015851961,0.02125421261292197,0.0,8390333.446296433,10298376.446296433,8845.882534183502
102,0.09835928225209845,0.020620812856289705,0.0,8183745.445131871,10091788.445131872,8668.431923322343
103,0.0914658409616757,0.02019529433809004,0.0,9061068.68749568,10969111.68749568,9422.016567166878
104,0.10108071432500985,0.021000589638816937,0.0,7895452.734510947,9803495.734510947,8420.800321689527
105,0.10956076285221807,0.020504132262823136,0.0,6982510.936029661,8890553.936029661,7636.620800575211
106,0.13179278851815796,0.01742506931305766,0.0,5223312.821664609,7131355.821664609,6125.541849909473
107,0.10611866719247758,0.020115198054082878,0.0,7285583.416595432,9193626.416595433,7896.947617759348
108,0.10736325586084146,0.01731577835270562,0.0,6969479.185608385,8877522.185608385,7625.427062024038
109,0.10238331126350748,0.02020270635725206,0.0,7682169.087640827,9590212.087640826,8237.598426078703
110,0.07471843177051438,0.0187983801462794,0.0,11990214.215305395,13898257.215305395,11938.032310002916
111,0.10310229186826174,0.026348454056957155,0.0,8138114.05216165,10046157.052161649,8629.236430305487
112,0.1044034531491154,0.01990026404062072,0.0,7443418.944936058,9351461.944936058,8032.521856155349
113,0.14044863168727928,0.016489401084346027,0.0,4744147.19543716,6652190.19543716,5713.958250676138
114,0.10061458552828316,0.019664549473307688,0.0,7833698.569106598,9741741.569106597,8367.756029124375
115,0.10802321013500418,0.02129839686409472,0.0,7184304.407211583,9092347.407211583,7809.953107036234
116,0.10297932345442135,0.02418340986538131,0.0,7954968.529130029,9863011.529130029,8471.921945653692
